type,id,
file,10b73abc9eb813b5f78c9b3215998677bd1c072cf6a0a41d86671e2423baeb62,
file,11d327fa6bb00da8cc13c3212a77f3b9bd986a63f6a773097c844fcba5211324,
file,12f73a1eaa5049159a544a612a84118a6fa0b245f789151dd9f4f28aa7811edd,
file,15f4d42f7b7f7a72292bc0032d5aa9da1c4befc7e09c66a705dc7caef7c47398,
file,16589bfdae9ef0304d7f9db848f759613f351456dadd8888cde6df689a2d2a62,
file,17de048d59ac19e762e1a98a3a4c55d1202bcad90b509af8e328d7320f91d84d,
file,194adf4d714648a41efb70c87519883291cdf53b3e8ae928c9447904a69aa1ba,
file,1a5706b6c2a8c7a97ddc947242b411e09991a149a3dab932eb53a13c93137556,
file,1f5240d39af8f625788aaaeb54e17e6f0510802c9628c43df9258048dc4738ec,
file,1fa645345f8b7d3a9957a5fc1f4396a15318d9ccfc84fc503f5c7d7cba184353,
file,21f50e09bae0756b05f6cd5d957ef415c5669389defb516f4004269a3edceba3,
file,279c815032c662a133d1299ceaf30a9c6f1b229622ea2b9647bf88d07f6434f2,
file,29216bd50d03635fe45fafc7b7dd5696717cd41292a7cac605f660d7b41cc905,
file,2be2a2fb2f2e43d266ca744b1ee66fe9d8d3843b98b4c7775a8b8f877d5de366,
file,2fcb29cd304c232f1739834598b60628e6d684ef0b13de33b1b79d605f1a898a,
file,3146d612aef4b179ef11defedf6de71a86fa2657c3e449ca7c74efe0dd665027,
file,329597e0ff2d0aae84c82e5f9067de80382006ef027d438dbd3d2cc18c1ccc89,
file,33751cb1673842ae49a06d5ddf208fa49035e6225849a3732f82ac7081093f61,
file,c0085eb467d2fc9c9f395047e057183b3cd1503a4087d0db565161c13527a76f,
file,d8338cfadff9d382787d6ae105f79abb9804cdc70d3566707dfd8de45716a9c1,
file,11f1f969846ac14512f4bc64f65d0f9bc7590b93865154abebc6ec46c61fad0c,
file,291e50a349f42b448c493e49c6e1243688a0816cb875bc1aa4c88f639595ccf3,
url,https://dayzcheatcheck.online/nbpxworm.php,
file,2495a21ac4bd267d9bb3888c0d9e4e2279404bc51070e28c7c14a9e713f0dc5d,
file,3342b105ea3971efd9f3f940ef105d87e21f771b62718d54504f47b3e0a8b0d7,
file,a68bd7c6f8023b4b46aad20532bc26b0baa27ca03d2ed3afee0e7a234e3b91c5,
file,cd879575d0b5bd515f68eb103a378c538de44b754e74952f886ecf8b8cd8950e,
ip_address,104.21.52.212,
ip_address,162.159.36.2,
ip_address,172.67.204.25,
ip_address,173.194.206.94,
ip_address,192.168.0.15,
ip_address,193.161.193.99,
ip_address,23.55.140.42,
ip_address,8.8.8.8,
collection,XWorm,
domain,c.pki.goog,
domain,dayzcheatcheck.online,
domain,jjjjjjjujjj-55237.portmap.io,
domain,www.microsoft.com
